Vivado Simulator 2019.2
Time resolution is 1 ps
Instruction Memory Content Verification:
mem[0] = 00500093
mem[1] = 00300113
mem[2] = 002081b3
mem[3] = 40208233
mem[4] = 0020f2b3
mem[5] = 0020e333
mem[6] = 0010a3b3
mem[7] = 00102223
mem[8] = 00402403
mem[9] = 00a0a493
mem[10] = 0010f513
mem[11] = 0040e593
mem[12] = 00850163
mem[13] = 00000013
mem[14] = 00f00613
mem[15] = 00209163
mem[16] = 00000013
mem[17] = 01400693
mem[18] = 00c00713
mem[19] = 01900793
mem[20] = 01e00813
mem[21] = 02300893
mem[22] = 02800913
Cycle=78: PC=0000011c, Instr=00000013, x1=         5, x2=         3, x3=         8, x4=         2, x5=         1, x6=         7, x7=         0, x8=         5, x9=         1, x10=         1, x11=         5, x12=        15, x13=        20, x14=        12, x18=        40
Cycle=80: PC=00000124, Instr=00000013, x1=         5, x2=         3, x3=         8, x4=         2, x5=         1, x6=         7, x7=         0, x8=         5, x9=         1, x10=         1, x11=         5, x12=        15, x13=        20, x14=        12, x18=        40
Cycle=82: PC=0000012c, Instr=00000013, x1=         5, x2=         3, x3=         8, x4=         2, x5=         1, x6=         7, x7=         0, x8=         5, x9=         1, x10=         1, x11=         5, x12=        15, x13=        20, x14=        12, x18=        40
Cycle=84: PC=00000134, Instr=00000013, x1=         5, x2=         3, x3=         8, x4=         2, x5=         1, x6=         7, x7=         0, x8=         5, x9=         1, x10=         1, x11=         5, x12=        15, x13=        20, x14=        12, x18=        40
Cycle=86: PC=0000013c, Instr=00000013, x1=         5, x2=         3, x3=         8, x4=         2, x5=         1, x6=         7, x7=         0, x8=         5, x9=         1, x10=         1, x11=         5, x12=        15, x13=        20, x14=        12, x18=        40
Cycle=88: PC=00000144, Instr=00000013, x1=         5, x2=         3, x3=         8, x4=         2, x5=         1, x6=         7, x7=         0, x8=         5, x9=         1, x10=         1, x11=         5, x12=        15, x13=        20, x14=        12, x18=        40
Cycle=90: PC=0000014c, Instr=00000013, x1=         5, x2=         3, x3=         8, x4=         2, x5=         1, x6=         7, x7=         0, x8=         5, x9=         1, x10=         1, x11=         5, x12=        15, x13=        20, x14=        12, x18=        40
Cycle=92: PC=00000154, Instr=00000013, x1=         5, x2=         3, x3=         8, x4=         2, x5=         1, x6=         7, x7=         0, x8=         5, x9=         1, x10=         1, x11=         5, x12=        15, x13=        20, x14=        12, x18=        40
Cycle=94: PC=0000015c, Instr=00000013, x1=         5, x2=         3, x3=         8, x4=         2, x5=         1, x6=         7, x7=         0, x8=         5, x9=         1, x10=         1, x11=         5, x12=        15, x13=        20, x14=        12, x18=        40
Cycle=96: PC=00000164, Instr=00000013, x1=         5, x2=         3, x3=         8, x4=         2, x5=         1, x6=         7, x7=         0, x8=         5, x9=         1, x10=         1, x11=         5, x12=        15, x13=        20, x14=        12, x18=        40
Cycle=98: PC=0000016c, Instr=00000013, x1=         5, x2=         3, x3=         8, x4=         2, x5=         1, x6=         7, x7=         0, x8=         5, x9=         1, x10=         1, x11=         5, x12=        15, x13=        20, x14=        12, x18=        40
Cycle=100: PC=00000174, Instr=00000013, x1=         5, x2=         3, x3=         8, x4=         2, x5=         1, x6=         7, x7=         0, x8=         5, x9=         1, x10=         1, x11=         5, x12=        15, x13=        20, x14=        12, x18=        40
